"COMMENT_ID","AUTHOR","DATE","CONTENT","VIDEO_NAME","CLASS"
1,"Brandon Pryor",2014-01-19 00:36:25,"I dont even watch it anymore i just come here to check on 2 Billion or not﻿","PSY - GANGNAM STYLE(?????) M/V",0
2,"Chelsea Yun",2015-05-23 07:17:09.691,"i hate rap﻿","Eminem - Love The Way You Lie ft. Rihanna",0
3,"Sofia Aristizabal",2014-09-09 00:43:52,"I loved, she is amazing.. OMG your eyes*_*﻿","Katy Perry - Roar",0
4,"said abdesalam",2015-05-24 07:35:13.754,"song is bad﻿","Eminem - Love The Way You Lie ft. Rihanna",0
5,"crazy girl",2015-05-23 23:26:05.305,"tension⤴︎⤴︎﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
6,"Bob Orton",2014-07-22 00:26:50.82,"love this song﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
7,"LEGO_01 AND OBRY",2015-05-26 01:15:53.571,"Holy crap. 800,000,000 views?!﻿","Eminem - Love The Way You Lie ft. Rihanna",0
8,"Dakota Taylor",2015-05-29 02:13:07.81,"Cool﻿","Eminem - Love The Way You Lie ft. Rihanna",0
9,"Callum Hudson",2015-05-17 12:44:46.679,"Best for partying ﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
10,"Shakira Forever",2015-05-22 00:36:04.509,"Shakira﻿","Shakira - Waka Waka",0
11,"Leonel Hernandez",2014-11-14 12:35:38,"Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿","PSY - GANGNAM STYLE(?????) M/V",0
12,"Pedro Lombillo",2015-03-13 00:27:41.285,"Check out this playlist on YouTube:﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
13,"FreshX",NA,"Share this video.. This song can beat PSY - Gangnam Style!","Eminem - Love The Way You Lie ft. Rihanna",1
14,"OverSpace33",2014-11-06 19:40:59,"For Christmas Song visit my channel! ;)﻿","PSY - GANGNAM STYLE(?????) M/V",1
15,"Adela Korman",NA,"Check out my SEXY VIDEO :*","Eminem - Love The Way You Lie ft. Rihanna",1
16,"TLouX music",2014-11-05 22:41:42,"Add me here...https://www.facebook.com/TLouXmusic﻿","PSY - GANGNAM STYLE(?????) M/V",1
17,"asd ad",2014-01-21 08:22:06,"psy=korean﻿","PSY - GANGNAM STYLE(?????) M/V",0
18,"Chinsoman Films",2014-11-07 01:22:02,"Please subscribe to me﻿","PSY - GANGNAM STYLE(?????) M/V",1
19,"railn j sander",2015-05-26 05:32:15.041,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿","Eminem - Love The Way You Lie ft. Rihanna",0
20,"Joao Victor Canassa",2015-05-20 17:41:30.002,"Charlie from Lost!﻿","Eminem - Love The Way You Lie ft. Rihanna",0
21,"OFFICIAL LEXIS",2014-11-04 20:26:48.03,"Hi everyone! Do you like music? Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so don&#39;t miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one click. -&gt;﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
22,"Nirab Valobasha",2015-05-27 21:31:38.388,"I like shakira..﻿","Shakira - Waka Waka",0
23,"vZoqwa",2015-05-21 09:48:06.926,"thumbs up if you think this should have 1 billion views﻿","Eminem - Love The Way You Lie ft. Rihanna",0
24,"Anderson St. Martin",2013-10-09 03:22:24.252,"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH","Shakira - Waka Waka",1
25,"Scott Johnson",2013-10-18 19:45:43,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?","Shakira - Waka Waka",1
26,"BmwManDexter",2014-11-05 20:33:15,"check out ""starlitnightsky"" channel to see epic videos﻿","PSY - GANGNAM STYLE(?????) M/V",1
27,"Matheus Macedo",2014-07-21 04:24:24.585,"NICE :3﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
28,"YULIOR ZAMORA",2014-09-10 01:35:54,"I    loved        it           so       much          because         you          get         to         stand            fear .﻿","Katy Perry - Roar",0
29,"Sam Banfield",2014-09-25 19:32:29,"My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿","Katy Perry - Roar",1
30,"KatyPerry Queen",2014-09-14 09:47:10,"Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! ♥♥♥♥♥♥﻿","Katy Perry - Roar",0
31,"eSkiip",2014-01-20 17:22:53,"This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿","PSY - GANGNAM STYLE(?????) M/V",0
32,"real money",NA,"subscribe to my feed","Eminem - Love The Way You Lie ft. Rihanna",1
33,"Hoye Boyz",2014-09-13 09:07:27.253,"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
34,"Crooked Gaming",2014-11-04 00:00:57,"I made a gaming channel (Unique right?) :L Angry Minecraft!﻿","PSY - GANGNAM STYLE(?????) M/V",1
35,"Ryan Alexander Osborn",2013-10-04 02:26:08.693,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth.","Shakira - Waka Waka",1
36,"Eidya Pal",2015-05-25 14:43:55.353,"i totally love this song. absolutely fantastic! i love ya shakira!﻿","Shakira - Waka Waka",0
37,"Kalle Eklund",2015-05-19 23:29:31.994,"Hi, nice song Shakira! (Sorry for bad Brazilian)﻿","Shakira - Waka Waka",0
38,"Julius NM",2013-11-07 06:20:48,"Huh, anyway check out this you[tube] channel: kobyoshi02","PSY - GANGNAM STYLE(?????) M/V",1
39,"JP Jochem",2014-01-20 20:23:35,"Subscribe and like to me for more how to videos on minecraft!﻿","PSY - GANGNAM STYLE(?????) M/V",1
40,"01FLHT",NA,"Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿","Eminem - Love The Way You Lie ft. Rihanna",1
41,"TheLjc808",2015-02-10 19:48:56.558,"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
42,"roflcopter2110",2014-11-04 02:22:06,"http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿","PSY - GANGNAM STYLE(?????) M/V",1
43,"Caius Ballad",2014-11-13 00:58:20,"imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿","PSY - GANGNAM STYLE(?????) M/V",0
44,"Natalya Korshunova",2014-10-14 03:29:19,"Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿","Katy Perry - Roar",0
45,"ShockMinerX",2015-05-26 02:03:46.816,"Remeber the good ol&#39; days when songs weren&#39;t about butts.  ﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
46,"roflcopter2110",2014-09-19 23:15:14,"http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿","Katy Perry - Roar",1
47,"Madagascar Tropic Voyage",2015-05-26 16:02:07.1,"Nice﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
48,"Adele Lupei",2014-11-07 19:47:06,"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿","PSY - GANGNAM STYLE(?????) M/V",0
49,"Amie Rutledge",NA,"Check out this video on YouTube:﻿","Eminem - Love The Way You Lie ft. Rihanna",1
50,"Andrés Nuñez",2015-05-21 02:11:54.71,"super﻿","Eminem - Love The Way You Lie ft. Rihanna",0
51,"Tofik Miedzyń",2014-11-13 21:48:26,"https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿","PSY - GANGNAM STYLE(?????) M/V",1
52,"sebastian hudson",2014-10-21 18:16:46,"katy is mine the girl of my dreams ♥﻿","Katy Perry - Roar",0
53,"Danuchi zuuzu",2014-09-23 14:55:49,"so cute that monkey *-*! ﻿","Katy Perry - Roar",0
54,"Monster Sifou",2014-11-04 18:30:39,"8 million likes xD even the subscribers not 8 million xD﻿","PSY - GANGNAM STYLE(?????) M/V",0
55,"Ishfaq khan",2013-10-21 07:18:41.46,"plz i wilsubscribe me frndzzl subscribe u back","Shakira - Waka Waka",1
56,"DanteBTV",NA,"Check Out The New Hot Video By Dante B Called Riled Up","Eminem - Love The Way You Lie ft. Rihanna",1
57,"Jarelys Mellado",2015-02-23 00:37:24.817,"Check out this video on YouTube:<br /><br />﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
58,"Waleed Khan",2015-05-22 13:54:59.712,"This is my favorite song ever love this Party Rock It Everybody!!!!﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
59,"IMustKillGoogle+",2014-10-25 20:10:35,"Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿","Katy Perry - Roar",0
60,"David Bell",2014-01-21 03:18:31,"the most viewed youtube video of all time?﻿","PSY - GANGNAM STYLE(?????) M/V",0
61,"Xan Harmer",2015-05-26 06:19:34.669,"Check out this video on YouTube:﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
62,"Juan Martinez",2013-10-02 03:08:55.478,"She is perfect! &lt;3","Shakira - Waka Waka",0
63,"Denzel Saimi",2014-10-26 08:38:36,"I fucking hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.﻿","Katy Perry - Roar",0
64,"zakaia ziko",2014-11-08 11:00:19,"follower please https://www.facebook.com/lists/161620527267482﻿","PSY - GANGNAM STYLE(?????) M/V",1
65,"Jouri Osman",2014-09-13 15:05:13,"I love KATY PERRY &lt;3 &lt;3﻿","Katy Perry - Roar",0
66,"nanaIAMNANA",2014-10-18 12:41:41,"Hi! I would appreciate it if you all could help to like this poster on  Facebook:  https://www.facebook.com/nyghdramafest2014/photos/a.333608120156973.1073741830.327568907427561/333607726823679/?type=3&amp;theater ﻿","Katy Perry - Roar",1
67,"T MAN",2015-05-21 17:41:48.433,"Fire..﻿","Eminem - Love The Way You Lie ft. Rihanna",0
68,"MiningBip3",2014-11-06 02:22:00,"Check out pivot animations in my channel﻿","PSY - GANGNAM STYLE(?????) M/V",1
69,"Ju`Wan Wright",2014-11-06 02:39:07,"Follow me on twitter &amp; IG : __killuminati94﻿","PSY - GANGNAM STYLE(?????) M/V",1
70,"LaiLa Steudle",2015-05-19 19:05:28.47,"Me and my aunt love this song!!!!!﻿","Shakira - Waka Waka",0
71,"Carmen W",2015-05-24 01:36:23.815,"I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿","Shakira - Waka Waka",0
72,"..xXCoolMultiXx..",NA,"He gets more views but has less subscribers lol","Eminem - Love The Way You Lie ft. Rihanna",1
73,"rachel perez",2015-05-25 14:05:18.188,"the song is sad﻿","Shakira - Waka Waka",0
74,"TA Stealth",2015-03-11 01:25:46.234,"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
75,"Alanoud Alsaleh",2014-09-15 18:27:56,"I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ﻿","Katy Perry - Roar",0
76,"Priyanshu Panta",2014-10-02 13:17:36,"https://www.facebook.com/pages/Hiphop-Express/704682339621282                 like this page yo﻿","Katy Perry - Roar",1
77,"Isabel Flores",2015-05-20 00:49:34.07,"Love your songs<br />Supper cool<br />﻿","Eminem - Love The Way You Lie ft. Rihanna",0
78,"Elle xox",2014-08-20 02:55:54,"Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿","Katy Perry - Roar",1
79,"trespasser4000",2014-11-04 22:07:22,"This song never gets old love it.﻿","PSY - GANGNAM STYLE(?????) M/V",0
80,"Shadrach Grentz",2013-09-29 13:59:42.162,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)","Shakira - Waka Waka",1
81,"Alexis Dean",2015-05-18 15:00:30.43,"Its funny because I listen to rock and death metal. But i like this.﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
82,"Anthony Lam",2013-07-29 08:59:24.455,"Hey, I am doing the Forty Hour famine so I&#39;ll be giving up on food and social working for 40 hours. I&#39;m doing this to raise money for African people who can&#39;t experience the luxuries that we can. So can you donate to give them a chance?  Any amount would do :)  Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)","Shakira - Waka Waka",1
83,"Eduarda Ketrony",2014-08-11 01:43:41,"https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c﻿","Katy Perry - Roar",1
84,"LuckyMusiqLive",2014-10-30 17:58:18,"this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿","Katy Perry - Roar",1
85,"Maika Kate Mish Linn",2013-08-31 08:59:35.957,"How did you know that people makes another account just for subscribing itself and liking??? :)","Shakira - Waka Waka",1
86,"Marsonal Carrey",2015-05-26 17:25:43.332,"1,000,000 VIEWS NEAR﻿","Eminem - Love The Way You Lie ft. Rihanna",0
87,"lekanaVEVO1",2014-07-22 15:27:50,"i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿","Katy Perry - Roar",1
88,"clirim99",2015-05-19 12:13:44.952,"is that megan fox x:D?﻿","Eminem - Love The Way You Lie ft. Rihanna",0
89,"Madalynn Miller",2015-05-23 12:51:30.214,"Thank you. Please give your email. ﻿","Shakira - Waka Waka",1
90,"Mandeep Kaur",2014-09-16 21:03:17,"selfie alert﻿","Katy Perry - Roar",0
91,"Shirley Donoso",2015-05-21 11:34:17.696,"Beautiful song﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
92,"Manuel Ortiz",2014-08-07 17:46:23,"Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ﻿","Katy Perry - Roar",1
93,"Joseph Jackson",NA,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality","Eminem - Love The Way You Lie ft. Rihanna",1
94,"Robert Petrea",2014-10-27 22:31:50,"She kinda let herself go, huh?﻿","Katy Perry - Roar",0
95,"이 정훈",NA,"This great Warning will happen soon. ,0
LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Croatia &lt;3,0
LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Nice one,0
LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0
LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0
LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko","Eminem - Love The Way You Lie ft. Rihanna",1
96,"david rodriguez",NA,"do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity","Eminem - Love The Way You Lie ft. Rihanna",1
97,"jessie J",2015-01-08 16:16:52.163,"Check out this video on YouTube:Qq﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
98,"Didier Drogba",2014-01-20 06:57:25,"http://www.twitch.tv/jaroadc come follow and watch my stream!﻿","PSY - GANGNAM STYLE(?????) M/V",1
99,"lol Ippocastano",2015-05-26 20:33:36.195,"Stop,is a very TOP 1﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
100,"FrostByteRaines",NA,"No long paragraph just check out my song called &quot;Fire&quot;.","Eminem - Love The Way You Lie ft. Rihanna",1
101,"‫غاردينا خالد‬‎",2015-01-12 06:06:06.398,"Check out this video on YouTube:﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
102,"TIGERIO_",2014-11-04 19:46:38,"EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿","PSY - GANGNAM STYLE(?????) M/V",1
103,"Chris4chan",2015-05-26 02:55:34.984,"This video is kinda close to 1 million  views <br />﻿","Eminem - Love The Way You Lie ft. Rihanna",0
104,"‫הילה שוהם‬‎",2015-04-17 15:50:59.01,"Check out this playlist on YouTube:י<br /><br /><br /><br />⛺🏤⛺⛺﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
105,"Archie Lewis",2013-11-28 17:54:39,"https://twitter.com/GBphotographyGB﻿","PSY - GANGNAM STYLE(?????) M/V",1
106,"THE GAMER OF TOMORROW",2015-05-20 14:56:07.374,"5 years ago damn ﻿","Shakira - Waka Waka",0
107,"Pedazo Astur",NA,"This guy win dollars sleeping... m m m he loves the planet its full of RETARDS","Eminem - Love The Way You Lie ft. Rihanna",1
108,"Sylvie Clinkemaillie",2015-05-26 16:53:49.753,"LOVE TROP FORT VOTRE  clip﻿","Eminem - Love The Way You Lie ft. Rihanna",0
109,"adish Newar",2015-05-17 08:21:37.091,"i like this steps...﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
110,"Spencer Clark",2014-11-08 05:29:26,"If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿","PSY - GANGNAM STYLE(?????) M/V",0
111,"Kacy Cluley",2015-06-05 18:59:52,"This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxx﻿","Katy Perry - Roar",0
112,"TAKAHASHI KAITO",2013-09-06 14:51:05.944,"good!!","Shakira - Waka Waka",0
