,COMMENT_ID,AUTHOR,DATE,CONTENT,VIDEO_NAME,CLASS,TOKENIZED
0,1,Brandon Pryor,2014-01-19 00:36:25,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,PSY - GANGNAM STYLE(?????) M/V,0,"['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', '2', 'billion', 'or', 'not\ufeff']"
1,2,Chelsea Yun,2015-05-23 07:17:09.691,i hate rap﻿,Eminem - Love The Way You Lie ft. Rihanna,0,"['i', 'hate', 'rap\ufeff']"
2,3,Sofia Aristizabal,2014-09-09 00:43:52,"I loved, she is amazing.. OMG your eyes*_*﻿",Katy Perry - Roar,0,"['i', 'loved', ',', 'she', 'is', 'amazing..', 'omg', 'your', 'eyes*_*\ufeff']"
3,4,said abdesalam,2015-05-24 07:35:13.754,song is bad﻿,Eminem - Love The Way You Lie ft. Rihanna,0,"['song', 'is', 'bad\ufeff']"
4,5,crazy girl,2015-05-23 23:26:05.305,tension⤴︎⤴︎﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,['tension⤴︎⤴︎\ufeff']
5,6,Bob Orton,2014-07-22 00:26:50.82,love this song﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,"['love', 'this', 'song\ufeff']"
6,7,LEGO_01 AND OBRY,2015-05-26 01:15:53.571,"Holy crap. 800,000,000 views?!﻿",Eminem - Love The Way You Lie ft. Rihanna,0,"['holy', 'crap.', '800,000,000', 'views', '?', '!', '\ufeff']"
7,8,Dakota Taylor,2015-05-29 02:13:07.81,Cool﻿,Eminem - Love The Way You Lie ft. Rihanna,0,['cool\ufeff']
8,9,Callum Hudson,2015-05-17 12:44:46.679,Best for partying ﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,"['best', 'for', 'partying', '\ufeff']"
9,10,Shakira Forever,2015-05-22 00:36:04.509,Shakira﻿,Shakira - Waka Waka,0,['shakira\ufeff']
10,11,Leonel Hernandez,2014-11-14 12:35:38,"Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿",PSY - GANGNAM STYLE(?????) M/V,0,"['something', 'to', 'dance', 'to', ',', 'even', 'if', 'your', 'sad', 'just', 'dance', '!', '!', 'psy', '-', 'gangnam', 'style', '(', '강남스타일', ')', 'm/v', ':', 'http', ':', '//youtu.be/9bzkp7q19f0\ufeff']"
11,12,Pedro Lombillo,2015-03-13 00:27:41.285,Check out this playlist on YouTube:﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['check', 'out', 'this', 'playlist', 'on', 'youtube', ':', '\ufeff']"
12,13,FreshX,,Share this video.. This song can beat PSY - Gangnam Style!,Eminem - Love The Way You Lie ft. Rihanna,1,"['share', 'this', 'video..', 'this', 'song', 'can', 'beat', 'psy', '-', 'gangnam', 'style', '!']"
13,14,OverSpace33,2014-11-06 19:40:59,For Christmas Song visit my channel! ;)﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['for', 'christmas', 'song', 'visit', 'my', 'channel', '!', ';', ')', '\ufeff']"
14,15,Adela Korman,,Check out my SEXY VIDEO :*,Eminem - Love The Way You Lie ft. Rihanna,1,"['check', 'out', 'my', 'sexy', 'video', ':', '*']"
15,16,TLouX music,2014-11-05 22:41:42,Add me here...https://www.facebook.com/TLouXmusic﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['add', 'me', 'here', '...', 'https', ':', '//www.facebook.com/tlouxmusic\ufeff']"
16,17,asd ad,2014-01-21 08:22:06,psy=korean﻿,PSY - GANGNAM STYLE(?????) M/V,0,['psy=korean\ufeff']
